客户ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12336,15,10,5016.08,3,2,3,发展
12337,17,9,2412.33,3,2,2,发展
12338,2,8,1875.3500000000001,4,1,2,一般
12339,125,9,40129.82,1,2,4,一般
12340,77,10,1741.94,1,2,2,挽留
12341,7,6,418.15,4,1,1,一般
12342,10,10,10050.6,4,2,3,发展
12343,50,12,35838.689999999995,1,3,4,保持
12344,10,13,6578.049999999999,4,3,3,高价值
12345,20,12,68185.59,3,3,4,高价值
12346,40,8,1478.71,2,1,1,挽留
12347,24,7,991.39,3,1,1,一般
12348,30,6,845.51,2,1,1,挽留
12349,104,9,4320.34,1,2,3,一般
12350,54,12,2491.19,1,3,2,一般
12351,25,11,4011.65,2,2,3,一般
12352,93,8,1987.96,1,1,2,挽留
12353,17,10,1749.0500000000002,3,2,2,发展
12354,36,10,6757.75,2,2,3,一般
12355,83,14,5346.650000000001,1,4,3,保持
12356,3,10,2017.6200000000001,4,2,2,发展
12357,1,9,1339.0900000000001,4,2,1,发展
12358,3,12,1439.41,4,3,1,发展
12359,7,8,579.7,4,1,1,一般
12360,112,11,927.73,1,2,1,挽留
12361,23,13,17285.9,3,3,4,高价值
12362,40,13,2190.0,2,3,2,一般
12363,14,11,2007.75,3,2,2,发展
12364,21,13,9986.18,3,3,3,高价值
12365,21,19,4728.68,3,4,3,高价值
12366,34,11,14691.85,2,2,4,一般
12367,5,12,2341.25,4,3,2,发展
12368,16,11,2243.76,3,2,2,发展
12369,59,10,50614.45,1,2,4,一般
12370,61,11,1406.8400000000001,1,2,1,挽留
12371,4,17,33067.020000000004,4,4,4,高价值
12372,33,2,474.54999999999995,2,1,1,挽留
12373,28,10,5383.1,2,2,3,一般
12374,116,11,2142.75,1,2,2,挽留
12375,36,9,1624.04,2,2,1,挽留
12376,2,13,32339.3,4,3,4,高价值
12377,16,15,1903.47,3,4,2,发展
12378,155,10,1285.95,1,2,1,挽留
12379,5,7,2633.31,4,1,2,一般
12380,58,6,1167.65,1,1,1,挽留
12381,39,11,8612.2,2,2,3,一般
12382,3,16,5905.219999999999,4,4,3,高价值
12383,96,8,803.9099999999999,1,1,1,挽留
12384,7,11,17948.51,4,2,4,发展
12385,53,12,1525.71,1,3,1,一般
12386,17,15,31554.92,3,4,4,高价值
12387,10,12,4545.5,4,3,3,高价值
12388,4,11,17927.7,4,2,4,发展
12389,2,6,895.25,4,1,1,一般
12390,43,10,30534.04,2,2,4,一般
12391,19,13,3077.13,3,3,2,发展
12392,13,9,5863.8,3,2,3,发展
12393,23,7,1149.67,3,1,1,一般
12394,4,14,32321.2,4,4,4,高价值
12395,24,9,20925.469999999998,3,2,4,发展
12396,31,11,1473.16,2,2,1,挽留
12397,61,11,614.4599999999999,1,2,1,挽留
12398,39,5,395.3,2,1,1,挽留
12399,61,16,4747.74,1,4,3,保持
12400,33,10,1319.3,2,2,1,挽留
12401,14,12,2592.83,3,3,2,发展
12402,60,11,7691.57,1,2,3,一般
12403,91,6,2763.2,1,1,2,挽留
12404,51,8,50808.16,1,1,4,一般
12405,27,13,50706.7,2,3,4,保持
12406,36,13,3594.92,2,3,3,保持
12407,34,9,1911.07,2,2,2,挽留
12408,95,7,20930.3,1,1,4,一般
12409,34,15,18797.15,2,4,4,保持
12410,45,13,61509.46,2,3,4,保持
12411,23,12,5165.36,3,3,3,高价值
12412,22,12,26551.25,3,3,4,高价值
12413,81,7,1262.7,1,1,1,挽留
12414,56,8,3111.06,1,1,2,挽留
12415,43,15,1961.32,2,4,2,一般
12416,63,8,10392.21,1,1,3,一般
12417,53,7,1370.45,1,1,1,挽留
12418,25,7,1106.3,2,1,1,挽留
12419,56,12,13862.64,1,3,3,保持
12420,25,16,46997.950000000004,2,4,4,保持
12421,29,9,1358.0,2,2,1,挽留
12422,6,9,1212.99,4,2,1,发展
12423,5,11,3149.59,4,2,2,发展
12424,10,9,1818.13,4,2,2,发展
12425,109,8,846.44,1,1,1,挽留
12426,65,12,1565.81,1,3,1,一般
12427,4,11,834.88,4,2,1,发展
12428,22,11,1495.17,3,2,1,发展
12429,33,8,5963.3,2,1,3,一般
12430,108,12,8239.51,1,3,3,保持
12431,12,6,1421.35,3,1,1,一般
12432,7,22,4950.24,4,4,3,高价值
12433,2,9,1191.6,4,2,1,发展
12434,35,11,1773.49,2,2,2,挽留
12435,3,13,1636.6399999999999,4,3,1,发展
12436,4,21,37723.14,4,4,4,高价值
12437,13,7,1303.95,3,1,1,一般
